2026-04-16 15:16:51,411 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 15:19:13,773 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 15:19:19,427 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 15:19:47,271 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 15:27:10,433 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 15:27:33,811 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 15:32:59,487 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 15:33:22,211 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 15:33:26,402 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 15:33:30,802 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 15:43:45,085 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 15:51:26,771 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 16:02:58,480 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 16:14:04,902 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 16:17:57,823 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 16:34:06,381 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 16:35:41,446 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 16:37:19,003 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 16:46:19,745 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 16:57:06,294 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 16:58:17,507 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 17:00:34,150 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 17:15:52,132 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 17:17:52,733 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 17:29:57,580 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 17:30:14,145 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 17:32:01,061 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 17:33:49,486 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 17:45:53,404 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:11:42,639 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:15:32,225 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:27:26,418 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:28:50,917 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:29:26,968 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:30:20,036 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:32:33,261 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:35:58,795 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:37:55,690 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:41:42,641 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:43:34,851 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:48:29,637 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:51:18,720 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 18:54:34,319 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 19:33:31,135 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 19:36:53,368 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 19:36:57,791 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 19:37:03,195 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 19:37:16,111 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 19:37:34,376 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 22:02:17,080 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-16 22:04:35,620 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-17 09:46:51,325 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-17 09:53:07,814 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-17 09:56:22,151 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-17 11:59:03,531 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-17 12:04:58,847 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-17 12:06:57,760 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-17 12:07:24,393 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-17 12:08:58,965 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-17 12:09:48,476 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-17 12:11:44,077 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
2026-04-17 12:12:46,627 - INFO - [audit] - SECURITY EVENT | System | Dashboard Loaded | User accessed dashboard as admin
